GEO_ID,state,county,year,Median Annual Household Income,Median Monthly Housing Costs,Median Value for Owner Occupied Housing Units,Percent White Collar,Percent College Graduate,geo11
1400000US17031283200,Illinois,Cook County,2018,74890,1779,381800,0.6499416569428238,0.7557557557557557,17031283200
1400000US17031491400,Illinois,Cook County,2018,29737,939,126200,0.3096590909090909,0.2007042253521127,17031491400
1400000US17031550200,Illinois,Cook County,2018,53125,618,138700,0.33704974271012006,0.33926645091693636,17031550200
1400000US17031827400,Illinois,Cook County,2018,21455,734,78700,0.2141833810888252,0.12885348112227227,17031827400
1400000US17031030800,Illinois,Cook County,2018,90288,1537,492200,0.6580331849453662,0.7512396694214876,17031030800
1400000US17031050500,Illinois,Cook County,2018,133845,1924,695400,0.6679875459949052,0.8225086762518592,17031050500
1400000US17031630400,Illinois,Cook County,2018,32683,857,142100,0.04736024844720497,0.09218707758853745,17031630400
1400000US17031670300,Illinois,Cook County,2018,20938,691,88000,0.035326086956521736,0.20277078085642317,17031670300
1400000US17031681000,Illinois,Cook County,2018,16064,795,116100,0.27050359712230215,0.14818820984315847,17031681000
1400000US17031710200,Illinois,Cook County,2018,28014,920,120400,0.13267203967761934,0.1859261814418765,17031710200
1400000US17031770300,Illinois,Cook County,2018,81938,1372,227900,0.32728177070380504,0.39504988488104376,17031770300
1400000US17031421200,Illinois,Cook County,2018,20500,790,91100,0.08375634517766498,0.26136363636363635,17031421200
1400000US17031803007,Illinois,Cook County,2018,105991,1558,329100,0.5022992571630704,0.6356382978723404,17031803007
1400000US17031816402,Illinois,Cook County,2018,47976,1080,234700,0.14563567362428842,0.16082317073170732,17031816402
1400000US17031351400,Illinois,Cook County,2018,15997,466,263600,0.17325800376647835,0.2782846715328467,17031351400
1400000US17031491200,Illinois,Cook County,2018,40167,1032,118700,0.2364963503649635,0.31932773109243695,17031491200
1400000US17031805401,Illinois,Cook County,2018,79958,1158,313900,0.36764705882352944,0.42838152210036556,17031805401
1400000US17031350100,Illinois,Cook County,2018,42018,1146,-666666666,0.6388670338316287,0.7404098791382029,17031350100
