GEO_ID,state,county,geo11,year,Median Annual Household Income,Median Monthly Housing Costs,Median Value for Owner Occupied Housing Units,Percent White Collar,Percent College Graduate
1400000US17031050500,Illinois,Cook County,17031050500,2012,92589,1535,655200,0.5939682539682539,0.7280844155844156
1400000US17031050600,Illinois,Cook County,17031050600,2012,82616,1473,453100,0.5830461750516885,0.7254196642685852
1400000US17031050700,Illinois,Cook County,17031050700,2012,89268,1799,387700,0.6112676056338028,0.7226688102893891
1400000US17031050800,Illinois,Cook County,17031050800,2012,118864,2063,650200,0.6529411764705882,0.7828185328185329
1400000US17031050900,Illinois,Cook County,17031050900,2012,89750,1556,648500,0.6030534351145038,0.8327272727272728
1400000US17031051000,Illinois,Cook County,17031051000,2012,85625,1638,491700,0.5137362637362637,0.705641864268193
1400000US17031051100,Illinois,Cook County,17031051100,2012,76694,1476,603900,0.5675675675675675,0.7637017070979335
1400000US17031051200,Illinois,Cook County,17031051200,2012,91685,1960,528200,0.582971329278888,0.7402799377916018
1400000US17031051300,Illinois,Cook County,17031051300,2012,155500,2630,498500,0.5735047512576859,0.8594059405940594
1400000US17031051400,Illinois,Cook County,17031051400,2012,74655,1681,410300,0.42857142857142855,0.6701164294954722
1400000US17031060100,Illinois,Cook County,17031060100,2012,96094,1898,480000,0.6341030195381883,0.7747458533975388
1400000US17031060200,Illinois,Cook County,17031060200,2012,54125,1155,390100,0.5170325510976533,0.5813234384662956
1400000US17031060300,Illinois,Cook County,17031060300,2012,104583,1668,614100,0.6491387126019945,0.8180952380952381
1400000US17031060400,Illinois,Cook County,17031060400,2012,106000,1838,524700,0.6131656804733728,0.837109375
1400000US17031060500,Illinois,Cook County,17031060500,2012,42042,1148,641200,0.5919003115264797,0.5594563986409966
1400000US17031060800,Illinois,Cook County,17031060800,2012,67820,1465,219000,0.6024404086265607,0.7888751545117428
1400000US17031060900,Illinois,Cook County,17031060900,2012,53699,1129,230500,0.5767932489451477,0.7724125023395096
1400000US17031061000,Illinois,Cook County,17031061000,2012,90078,1937,373900,0.5665369649805447,0.8734290843806104
1400000US17031061100,Illinois,Cook County,17031061100,2012,85337,1646,457400,0.43329775880469584,0.7780645161290323
1400000US17031061200,Illinois,Cook County,17031061200,2012,96667,1846,505500,0.6428571428571429,0.923130677847659
1400000US17031061500,Illinois,Cook County,17031061500,2012,95000,1747,394100,0.6180738786279684,0.7939124920735574
1400000US17031061800,Illinois,Cook County,17031061800,2012,51250,1044,311700,0.5360576923076923,0.8333333333333334
1400000US17031061901,Illinois,Cook County,17031061901,2012,53833,1090,239500,0.6075498575498576,0.7550816394535155
1400000US17031061902,Illinois,Cook County,17031061902,2012,50346,1136,325200,0.6728971962616822,0.8029978586723768
1400000US17031062000,Illinois,Cook County,17031062000,2012,78904,1501,368300,0.5399909624943515,0.8441119691119691
1400000US17031062100,Illinois,Cook County,17031062100,2012,78750,1755,430300,0.5268429487179487,0.7425451490970181
1400000US17031062200,Illinois,Cook County,17031062200,2012,109871,1999,466700,0.6219110378912686,0.8591296545536115
1400000US17031062300,Illinois,Cook County,17031062300,2012,105438,1962,743200,0.7916666666666666,0.9340659340659341
1400000US17031062400,Illinois,Cook County,17031062400,2012,109609,2250,595200,0.5233716475095785,0.7619047619047619
1400000US17031062500,Illinois,Cook County,17031062500,2012,109167,2081,395300,0.6773226773226774,0.8330097087378641
1400000US17031062600,Illinois,Cook County,17031062600,2012,103125,2254,630700,0.728801681850035,0.8418277680140598
1400000US17031062700,Illinois,Cook County,17031062700,2012,102120,1662,640400,0.6428571428571429,0.8303249097472925
1400000US17031062800,Illinois,Cook County,17031062800,2012,102162,1926,504300,0.7010718539102818,0.8504711183941008
1400000US17031062900,Illinois,Cook County,17031062900,2012,109167,2068,468900,0.6575829383886256,0.9109874826147427
1400000US17031063000,Illinois,Cook County,17031063000,2012,68594,1244,383700,0.6340046475600309,0.8841843088418431
1400000US17031063100,Illinois,Cook County,17031063100,2012,61786,1304,384600,0.6560302866414278,0.8093891402714932
1400000US17031063200,Illinois,Cook County,17031063200,2012,54358,1188,348600,0.6438322164308762,0.8196196196196196
1400000US17031063301,Illinois,Cook County,17031063301,2012,44464,1011,250300,0.5764002175095161,0.7650659133709982
1400000US17031063302,Illinois,Cook County,17031063302,2012,67802,1357,337400,0.639618138424821,0.8828972559029994
1400000US17031063303,Illinois,Cook County,17031063303,2012,73077,1572,340500,0.6684118673647469,0.7312614259597806
1400000US17031063400,Illinois,Cook County,17031063400,2012,66198,1505,412200,0.6973684210526315,0.8103674540682415
1400000US17031070101,Illinois,Cook County,17031070101,2012,66329,1219,338400,0.5930975713677035,0.8424635332252837
1400000US17031070102,Illinois,Cook County,17031070102,2012,63567,1077,240900,0.7239003709591945,0.7658991228070176
1400000US17031070103,Illinois,Cook County,17031070103,2012,50872,1191,348400,0.7460426703372333,0.9690805532953621
1400000US17031070200,Illinois,Cook County,17031070200,2012,84223,1649,505200,0.7003584229390681,0.8341637010676156
1400000US17031070300,Illinois,Cook County,17031070300,2012,91910,2045,438900,0.6886832141354648,0.9083720930232558
1400000US17031070400,Illinois,Cook County,17031070400,2012,81800,1700,617000,0.7149346961953436,0.7765910102358701
1400000US17031070500,Illinois,Cook County,17031070500,2012,108958,2292,616100,0.7040358744394619,0.7676915568570034
1400000US17031070600,Illinois,Cook County,17031070600,2012,134018,2515,632000,0.6580063626723224,0.8700155359917141
1400000US17031070700,Illinois,Cook County,17031070700,2012,106071,1995,455500,0.6382153249272551,0.7491590581451225
1400000US17031071000,Illinois,Cook County,17031071000,2012,93972,1769,744900,0.5040467625899281,0.8791130185979972
1400000US17031071100,Illinois,Cook County,17031071100,2012,103250,2131,830000,0.5475113122171946,0.9443021766965429
1400000US17031071200,Illinois,Cook County,17031071200,2012,80321,1838,426700,0.5901515151515152,0.7802569303583502
1400000US17031071300,Illinois,Cook County,17031071300,2012,90969,1732,529700,0.6579957356076759,0.9394285714285714
1400000US17031071400,Illinois,Cook County,17031071400,2012,72907,1398,401100,0.7191780821917808,0.8187118267629095
1400000US17031071500,Illinois,Cook County,17031071500,2012,85528,1498,304600,0.7100025846471957,0.8853362734288864
1400000US17031071600,Illinois,Cook County,17031071600,2012,131100,2061,792200,0.6648089171974523,0.8303437967115097
1400000US17031071700,Illinois,Cook County,17031071700,2012,126736,2231,664100,0.6370044052863436,0.8866301798279906
1400000US17031071800,Illinois,Cook County,17031071800,2012,116510,2357,702600,0.7174231332357247,0.8051367950865438
1400000US17031080100,Illinois,Cook County,17031080100,2012,81341,1650,623400,0.6493886230728336,0.8214888430526908
1400000US17031080201,Illinois,Cook County,17031080201,2012,74727,1595,267000,0.7506160670280927,0.7938420348058902
1400000US17031080202,Illinois,Cook County,17031080202,2012,87136,1495,270100,0.6524184476940382,0.821685173089484
1400000US17031080300,Illinois,Cook County,17031080300,2012,92744,1961,438800,0.6579949238578681,0.8571428571428571
1400000US17031080400,Illinois,Cook County,17031080400,2012,22917,949,483100,0.43760307861462344,0.5066427289048474
1400000US17031081000,Illinois,Cook County,17031081000,2012,49429,1224,394700,0.6195909580193757,0.7000859845227859
1400000US17031081100,Illinois,Cook County,17031081100,2012,54871,1310,467400,0.5168539325842697,0.7402642559109874
1400000US17031081201,Illinois,Cook County,17031081201,2012,69792,1751,607400,0.7113821138211383,0.8355083459787557
1400000US17031081202,Illinois,Cook County,17031081202,2012,81452,1831,504200,0.6670378619153675,0.7816846986089645
1400000US17031081300,Illinois,Cook County,17031081300,2012,87396,1857,507800,0.6880952380952381,0.834164318231086
1400000US17031081401,Illinois,Cook County,17031081401,2012,76699,1861,463700,0.815068493150685,0.8237643534697953
1400000US17031081402,Illinois,Cook County,17031081402,2012,101640,1841,592500,0.7624724061810154,0.8065139387248137
1400000US17031081403,Illinois,Cook County,17031081403,2012,88523,1720,403500,0.6974994467802611,0.8791888640659907
1400000US17031081500,Illinois,Cook County,17031081500,2012,93938,2076,527200,0.6847360912981455,0.8593091828138163
1400000US17031081600,Illinois,Cook County,17031081600,2012,86786,1849,322200,0.6175934366453966,0.8237202595529921
1400000US17031081700,Illinois,Cook County,17031081700,2012,90136,1692,363500,0.6506819181698196,0.8422381152713504
1400000US17031081800,Illinois,Cook County,17031081800,2012,93024,2263,412800,0.6889518413597734,0.9152628032345014
